evaluator_only,policy_name,policy_kind,fold,selected_expert,selection_count,selection_rate,num_runs_with_selection,total_runs,oracle_agreement_count,oracle_agreement_rate
True,decision_tree_metadata,realizable_policy,fold0,AnomalyDINO,3591,0.520434782609,33,60,2856,0.795321637427
True,decision_tree_metadata,realizable_policy,fold0,PatchCore,2022,0.293043478261,17,60,1675,0.828387734916
True,decision_tree_metadata,realizable_policy,fold0,WinCLIP,1287,0.18652173913,10,60,602,0.467754467754
True,decision_tree_metadata,realizable_policy,fold1,AnomalyDINO,3539,0.512898550725,32,60,2861,0.808420457756
True,decision_tree_metadata,realizable_policy,fold1,PatchCore,2759,0.399855072464,23,60,1975,0.715839072128
True,decision_tree_metadata,realizable_policy,fold1,WinCLIP,602,0.0872463768116,5,60,602,1
True,decision_tree_metadata,realizable_policy,fold2,AnomalyDINO,3655,0.529710144928,32,60,2535,0.693570451436
True,decision_tree_metadata,realizable_policy,fold2,PatchCore,2601,0.376956521739,22,60,1405,0.540176855056
True,decision_tree_metadata,realizable_policy,fold2,WinCLIP,644,0.0933333333333,6,60,602,0.934782608696
True,decision_tree_metadata,realizable_policy,fold3,AnomalyDINO,3605,0.522463768116,33,60,2671,0.740915395284
True,decision_tree_metadata,realizable_policy,fold3,PatchCore,2106,0.305217391304,17,60,1567,0.744064577398
True,decision_tree_metadata,realizable_policy,fold3,WinCLIP,1189,0.17231884058,10,60,808,0.679562657696
True,decision_tree_metadata,realizable_policy,fold4,AnomalyDINO,3674,0.532463768116,34,60,2877,0.78307022319
True,decision_tree_metadata,realizable_policy,fold4,PatchCore,1982,0.287246376812,16,60,1468,0.740665993946
True,decision_tree_metadata,realizable_policy,fold4,WinCLIP,1244,0.180289855072,10,60,753,0.605305466238
True,fastest_expert,realizable_policy,fold0,PatchCore,6396,0.926956521739,56,60,2234,0.3492808005
True,fastest_expert,realizable_policy,fold0,WinCLIP,504,0.0730434782609,4,60,0,0
True,fastest_expert,realizable_policy,fold1,PatchCore,6396,0.926956521739,56,60,1990,0.311131957473
True,fastest_expert,realizable_policy,fold1,WinCLIP,504,0.0730434782609,4,60,0,0
True,fastest_expert,realizable_policy,fold2,PatchCore,6396,0.926956521739,56,60,2222,0.347404627892
True,fastest_expert,realizable_policy,fold2,WinCLIP,504,0.0730434782609,4,60,0,0
True,fastest_expert,realizable_policy,fold3,PatchCore,6396,0.926956521739,56,60,2304,0.360225140713
True,fastest_expert,realizable_policy,fold3,WinCLIP,504,0.0730434782609,4,60,0,0
True,fastest_expert,realizable_policy,fold4,PatchCore,6396,0.926956521739,56,60,2175,0.340056285178
True,fastest_expert,realizable_policy,fold4,WinCLIP,504,0.0730434782609,4,60,0,0
True,multinomial_logistic_metadata,realizable_policy,fold0,AnomalyDINO,4257,0.616956521739,38,60,3272,0.768616396523
True,multinomial_logistic_metadata,realizable_policy,fold0,PatchCore,2041,0.295797101449,17,60,1675,0.820676139147
True,multinomial_logistic_metadata,realizable_policy,fold0,WinCLIP,602,0.0872463768116,5,60,602,1
True,multinomial_logistic_metadata,realizable_policy,fold1,AnomalyDINO,4205,0.609420289855,37,60,2950,0.701545778835
True,multinomial_logistic_metadata,realizable_policy,fold1,PatchCore,2208,0.32,19,60,1565,0.708786231884
True,multinomial_logistic_metadata,realizable_policy,fold1,WinCLIP,487,0.0705797101449,4,60,487,1
True,multinomial_logistic_metadata,realizable_policy,fold2,AnomalyDINO,4287,0.621304347826,37,60,2826,0.659202239328
True,multinomial_logistic_metadata,realizable_policy,fold2,PatchCore,2126,0.308115942029,19,60,1106,0.520225776105
True,multinomial_logistic_metadata,realizable_policy,fold2,WinCLIP,487,0.0705797101449,4,60,487,1
True,multinomial_logistic_metadata,realizable_policy,fold3,AnomalyDINO,4125,0.597826086957,37,60,2823,0.684363636364
True,multinomial_logistic_metadata,realizable_policy,fold3,PatchCore,2173,0.314927536232,18,60,1634,0.751955821445
True,multinomial_logistic_metadata,realizable_policy,fold3,WinCLIP,602,0.0872463768116,5,60,524,0.870431893688
True,multinomial_logistic_metadata,realizable_policy,fold4,AnomalyDINO,4125,0.597826086957,37,60,3244,0.786424242424
True,multinomial_logistic_metadata,realizable_policy,fold4,PatchCore,2173,0.314927536232,18,60,1758,0.809019788311
True,multinomial_logistic_metadata,realizable_policy,fold4,WinCLIP,602,0.0872463768116,5,60,602,1
True,random_seeded,realizable_policy,fold0,AnomalyDINO,2285,0.33115942029,60,60,1230,0.53829321663
True,random_seeded,realizable_policy,fold0,PatchCore,2305,0.334057971014,60,60,881,0.382212581345
True,random_seeded,realizable_policy,fold0,WinCLIP,2310,0.334782608696,60,60,188,0.0813852813853
True,random_seeded,realizable_policy,fold1,AnomalyDINO,2285,0.33115942029,60,60,1161,0.508096280088
True,random_seeded,realizable_policy,fold1,PatchCore,2305,0.334057971014,60,60,843,0.365726681128
True,random_seeded,realizable_policy,fold1,WinCLIP,2310,0.334782608696,60,60,290,0.125541125541
True,random_seeded,realizable_policy,fold2,AnomalyDINO,2285,0.33115942029,60,60,1141,0.499343544858
True,random_seeded,realizable_policy,fold2,PatchCore,2305,0.334057971014,60,60,821,0.356182212581
True,random_seeded,realizable_policy,fold2,WinCLIP,2310,0.334782608696,60,60,313,0.135497835498
True,random_seeded,realizable_policy,fold3,AnomalyDINO,2285,0.33115942029,60,60,1049,0.459080962801
True,random_seeded,realizable_policy,fold3,PatchCore,2305,0.334057971014,60,60,906,0.39305856833
True,random_seeded,realizable_policy,fold3,WinCLIP,2310,0.334782608696,60,60,304,0.131601731602
True,random_seeded,realizable_policy,fold4,AnomalyDINO,2285,0.33115942029,60,60,1174,0.513785557987
True,random_seeded,realizable_policy,fold4,PatchCore,2305,0.334057971014,60,60,827,0.358785249458
True,random_seeded,realizable_policy,fold4,WinCLIP,2310,0.334782608696,60,60,284,0.122943722944
