evaluator_only,policy_name,policy_kind,fold,aggregation,policy_auroc,oracle_auroc,oracle_regret,policy_ap,oracle_ap,ap_regret,policy_f1,oracle_f1,f1_regret
True,always_anomalydino,realizable_policy,fold4,micro,0.510587911882,0.521979353551,0.0113914416684,0.746386174714,0.758226968201,0.0118407934868,0.0487804878049,0.251043231514,0.202262743709
True,always_anomalydino,realizable_policy,fold4,macro_category,0.603249731308,0.627364143511,0.0241144122026,0.804284528585,0.825133436424,0.0208489078395,0.0387173141699,0.21409639715,0.17537908298
True,always_anomalydino,realizable_policy,fold4,macro_run,0.63135393738,0.679746652069,0.0483927146894,0.832007831803,0.85541298778,0.023405155977,0.0345303984507,0.141258500969,0.106728102518
True,always_patchcore,realizable_policy,fold0,micro,0.513372659093,0.522373299108,0.00900064001525,0.749417016439,0.758494100058,0.00907708361882,0.0612909404329,0.190792928409,0.129501987976
True,always_patchcore,realizable_policy,fold0,macro_category,0.601209480538,0.623789814855,0.0225803343162,0.800646604727,0.81708148134,0.0164348766126,0.0573823814276,0.159286457032,0.101904075604
True,always_patchcore,realizable_policy,fold0,macro_run,0.626415682206,0.677933061132,0.0515173789254,0.829253334676,0.852601991298,0.0233486566222,0.0512230451047,0.103967489953,0.0527444448487
True,always_patchcore,realizable_policy,fold1,micro,0.511036965136,0.528047264105,0.0170102989688,0.747745244213,0.759342394029,0.0115971498162,0.0627270988717,0.25751786011,0.194790761238
True,always_patchcore,realizable_policy,fold1,macro_category,0.611580733173,0.622438105016,0.0108573718434,0.803917904343,0.815235789251,0.0113178849083,0.0560006826137,0.223896596627,0.167895914014
True,always_patchcore,realizable_policy,fold1,macro_run,0.633078552845,0.693018399989,0.0599398471435,0.830250221083,0.85755051894,0.027300297857,0.0512917121399,0.139593579755,0.0883018676151
True,always_patchcore,realizable_policy,fold2,micro,0.49963977865,0.518975452181,0.0193356735309,0.743118400458,0.756993133168,0.0138747327094,0.0737082066869,0.25751503006,0.183806823373
True,always_patchcore,realizable_policy,fold2,macro_category,0.589383695189,0.612283251385,0.0228995561961,0.793163448146,0.815069863864,0.0219064157185,0.067512353375,0.213177414597,0.145665061222
True,always_patchcore,realizable_policy,fold2,macro_run,0.611125289347,0.672594238137,0.0614689487896,0.820222946493,0.8479055824,0.0276826359077,0.0590772521403,0.145106483089,0.0860292309484
True,always_patchcore,realizable_policy,fold3,micro,0.523807801377,0.539480834437,0.0156730330595,0.750636847695,0.762939095694,0.012302247999,0.0660557464681,0.267942583732,0.201886837264
True,always_patchcore,realizable_policy,fold3,macro_category,0.61117354226,0.621449591158,0.0102760488986,0.805486934971,0.813165907722,0.00767897275014,0.0592183985861,0.200316537757,0.141098139171
True,always_patchcore,realizable_policy,fold3,macro_run,0.630901908636,0.676770821788,0.0458689131518,0.8287332916,0.849978217243,0.0212449256427,0.0553109537253,0.128965922944,0.073654969219
True,always_patchcore,realizable_policy,fold4,micro,0.511724321941,0.521979353551,0.0102550316093,0.743817454972,0.758226968201,0.0144095132296,0.0920658682635,0.251043231514,0.15897736325
True,always_patchcore,realizable_policy,fold4,macro_category,0.602382119261,0.627364143511,0.0249820242497,0.80241789507,0.825133436424,0.022715541354,0.0736527522935,0.21409639715,0.140443644856
True,always_patchcore,realizable_policy,fold4,macro_run,0.618364273168,0.679746652069,0.0613823789011,0.827762758939,0.85541298778,0.0276502288407,0.06457236917,0.141258500969,0.0766861317987
True,always_winclip,realizable_policy,fold0,micro,0.480365595946,0.522373299108,0.0420077031623,0.729211006209,0.758494100058,0.0292830938497,0.709032127703,0.190792928409,-0.518239199294
True,always_winclip,realizable_policy,fold0,macro_category,0.486560099968,0.623789814855,0.137229714887,0.733736669207,0.81708148134,0.0833448121331,0.700933654305,0.159286457032,-0.541647197272
True,always_winclip,realizable_policy,fold0,macro_run,0.479417403967,0.677933061132,0.198515657164,0.738213088564,0.852601991298,0.114388902735,0.66678597877,0.103967489953,-0.562818488817
True,always_winclip,realizable_policy,fold1,micro,0.453222183167,0.528047264105,0.0748250809381,0.721127882493,0.759342394029,0.0382145115364,0.709632709633,0.25751786011,-0.452114849523
True,always_winclip,realizable_policy,fold1,macro_category,0.482285271097,0.622438105016,0.140152833919,0.73458367757,0.815235789251,0.0806521116811,0.709897880055,0.223896596627,-0.486001283428
True,always_winclip,realizable_policy,fold1,macro_run,0.481641110353,0.693018399989,0.211377289636,0.742174925849,0.85755051894,0.115375593092,0.686187465668,0.139593579755,-0.546593885913
True,always_winclip,realizable_policy,fold2,micro,0.468236051583,0.518975452181,0.0507394005985,0.725282046038,0.756993133168,0.0317110871299,0.712367207857,0.25751503006,-0.454852177797
True,always_winclip,realizable_policy,fold2,macro_category,0.490400132208,0.612283251385,0.121883119177,0.7375125408,0.815069863864,0.0775573230641,0.714465616594,0.213177414597,-0.501288201997
True,always_winclip,realizable_policy,fold2,macro_run,0.490519136645,0.672594238137,0.182075101492,0.745843763228,0.8479055824,0.102061819172,0.688870605473,0.145106483089,-0.543764122384
True,always_winclip,realizable_policy,fold3,micro,0.470964308086,0.539480834437,0.0685165263513,0.725705158109,0.762939095694,0.037233937585,0.709269662921,0.267942583732,-0.441327079189
True,always_winclip,realizable_policy,fold3,macro_category,0.492560821138,0.621449591158,0.12888877002,0.736833687629,0.813165907722,0.0763322200923,0.701959523033,0.200316537757,-0.501642985276
True,always_winclip,realizable_policy,fold3,macro_run,0.476442369814,0.676770821788,0.200328451974,0.737979957914,0.849978217243,0.111998259329,0.66920011913,0.128965922944,-0.540234196185
True,always_winclip,realizable_policy,fold4,micro,0.456150231665,0.521979353551,0.0658291218855,0.721451183483,0.758226968201,0.0367757847185,0.700642054575,0.251043231514,-0.449598823061
True,always_winclip,realizable_policy,fold4,macro_category,0.482504546084,0.627364143511,0.144859597427,0.734556231372,0.825133436424,0.090577205052,0.704041307309,0.21409639715,-0.48994491016
