evaluator_only,policy_name,policy_kind,aggregation,num_folds,expected_num_folds,auroc_mean,auroc_std,ap_mean,ap_std,f1_mean,f1_std,oracle_regret_mean,oracle_regret_std,selection_agreement_with_oracle,selection_agreement_with_oracle_std,estimated_runtime_ms_mean,estimated_runtime_ms_std,average_estimated_runtime_ms_mean,average_estimated_runtime_ms_std,tool_calls_mean,tool_calls_std,average_tool_calls_mean,average_tool_calls_std,abstention_rate_mean,abstention_rate_std
True,best_single_expert,evaluator_only_reference,macro_run,5,5,0.633260818876,0.00305829693767,0.829621180614,0.00154996530608,0.0358926537661,0.00994562552957,0.0467518157469,0.00504856505372,0.5,0.0505525029603,453265.061665,41351.5041695,65.6905886471,5.99297161876,6900,0,1,0,0,0
True,best_single_expert,evaluator_only_reference,micro,5,5,0.510383119768,0.00850703279482,0.748199599647,0.00292191283373,0.0441981146432,0.0124117469284,0.0157881209084,0.00463900527846,0.487507246377,0.0467810642131,453265.061665,41351.5041695,65.6905886471,5.99297161876,6900,0,1,0,0,0
True,category_prior,realizable_policy,macro_category,5,5,0.611041736521,0.00509624732323,0.805353317027,0.00339932946164,0.0912739554954,0.0089680171322,0.0104232446641,0.00427042758827,0.64,0.0343187671366,449620.448568,5261.67498815,65.1623838504,0.762561592485,6900,0,1,0,0,0
True,category_prior,realizable_policy,macro_run,5,5,0.645218191408,0.0049697092284,0.833745514546,0.00117123036598,0.0861803595108,0.0103481097114,0.0347944432151,0.00454158247146,0.64,0.0343187671366,449620.448568,5261.67498815,65.1623838504,0.762561592485,6900,0,1,0,0,0
True,category_prior,realizable_policy,micro,5,5,0.516808740974,0.00585936217299,0.747207231484,0.00227905696039,0.147085424508,0.0170494249501,0.00936249970212,0.00723809594647,0.643101449275,0.0364764614666,449620.448568,5261.67498815,65.1623838504,0.762561592485,6900,0,1,0,0,0
True,category_shot_prior,realizable_policy,macro_category,5,5,0.614106258834,0.00669085915372,0.811842843172,0.00353451719356,0.196055982855,0.0118027548372,0.00735872235099,0.00605890446627,0.716666666667,0.0459468291736,448586.699676,3312.09980039,65.0125651705,0.480014463824,6900,0,1,0,0,0
True,category_shot_prior,realizable_policy,macro_run,5,5,0.668785965989,0.00900710858817,0.847617373261,0.00440079734279,0.124222607936,0.00760760163541,0.0112266686342,0.00313496319445,0.716666666667,0.0459468291736,448586.699676,3312.09980039,65.0125651705,0.480014463824,6900,0,1,0,0,0
True,category_shot_prior,realizable_policy,micro,5,5,0.521758263176,0.00584589293594,0.756082824031,0.00311714832961,0.244165340372,0.0167667553027,0.00441297750074,0.0100825658987,0.727043478261,0.0611600796722,448586.699676,3312.09980039,65.0125651705,0.480014463824,6900,0,1,0,0,0
True,cost_aware,realizable_policy,macro_category,5,5,0.614329985774,0.00671159658211,0.811988784625,0.00366941251678,0.196101786087,0.0118584781545,0.00713499541094,0.00586077236594,0.72,0.0439696865276,447209.401928,5621.20621679,64.8129568011,0.81466756765,6900,0,1,0,0,0
True,cost_aware,realizable_policy,macro_run,5,5,0.668399009183,0.00898915692064,0.84746789999,0.00428782252375,0.124292520545,0.00771555646342,0.0116136254397,0.00304943990538,0.72,0.0439696865276,447209.401928,5621.20621679,64.8129568011,0.81466756765,6900,0,1,0,0,0
True,cost_aware,realizable_policy,micro,5,5,0.522179443425,0.00621297854779,0.756287781787,0.00329141344096,0.244222812765,0.016829270086,0.00399179725134,0.0104697589967,0.734,0.05573330439,447209.401928,5621.20621679,64.8129568011,0.81466756765,6900,0,1,0,0,0
True,decision_tree_metadata,realizable_policy,macro_category,5,5,0.610195048926,0.0105023063674,0.806505838148,0.00934368100267,0.228844747428,0.0536732226925,0.0112699322588,0.0121961642955,0.723333333333,0.040276819912,457173.754114,9231.01782797,66.2570658136,1.33782867072,6900,0,1,0,0,0
True,decision_tree_metadata,realizable_policy,macro_run,5,5,0.664283081974,0.0102139206579,0.844816401786,0.00546952964261,0.142063161078,0.0306392394274,0.0157295526487,0.00542159078785,0.723333333333,0.040276819912,457173.754114,9231.01782797,66.2570658136,1.33782867072,6900,0,1,0,0,0
True,decision_tree_metadata,realizable_policy,micro,5,5,0.519345120565,0.00837222578687,0.753312694137,0.00315764236383,0.265927657708,0.0624011799757,0.0068261201118,0.00776697674826,0.732086956522,0.0418941966566,457173.754114,9231.01782797,66.2570658136,1.33782867072,6900,0,1,0,0,0
True,fastest_expert,realizable_policy,macro_category,5,5,0.588448238083,0.00674467959472,0.794224458264,0.00131893141595,0.102012853123,0.0107830683031,0.0330167431021,0.00574668260694,0.313333333333,0.0244948974278,370303.890743,341.149613488,53.6672305425,0.0494419729692,6900,0,1,0,0,0
True,fastest_expert,realizable_policy,macro_run,5,5,0.608947290683,0.00855943410282,0.82135113933,0.00367590912191,0.0863965307416,0.00607942951765,0.0710653439398,0.00803779329951,0.313333333333,0.0244948974278,370303.890743,341.149613488,53.6672305425,0.0494419729692,6900,0,1,0,0,0
True,fastest_expert,realizable_policy,micro,5,5,0.514017014874,0.00724497664945,0.733302826273,0.00201553075021,0.120048424758,0.0134748296579,0.0121542258028,0.00550150315905,0.316666666667,0.0153453556879,370303.890743,341.149613488,53.6672305425,0.0494419729692,6900,0,1,0,0,0
True,multinomial_logistic_metadata,realizable_policy,macro_category,5,5,0.619279838037,0.00555913391554,0.815137165871,0.00371359104072,0.139646575781,0.0122635495088,0.0021851431477,0.0037825889902,0.74,0.0654896090146,452300.113955,1195.71561433,65.5507411529,0.173292118018,6900,0,1,0,0,0
True,multinomial_logistic_metadata,realizable_policy,macro_run,5,5,0.667907339044,0.00687507025192,0.846190064079,0.0038273555625,0.0904926563588,0.00757592287961,0.0121052955789,0.00442246118259,0.74,0.0654896090146,452300.113955,1195.71561433,65.5507411529,0.173292118018,6900,0,1,0,0,0
True,multinomial_logistic_metadata,realizable_policy,micro,5,5,0.514419279779,0.00524389096405,0.754066761876,0.0022462480753,0.173794327457,0.0151232889902,0.0117519608978,0.00645450344715,0.740724637681,0.0629238578622,452300.113955,1195.71561433,65.5507411529,0.173292118018,6900,0,1,0,0,0
True,random_seeded,realizable_policy,macro_category,5,5,0.545853382156,0.00227887619226,0.744617527385,0.00100658256306,0.379608122564,0.00581025172073,0.0756115990286,0.00512972042189,0.328941942063,0.00134170567895,457463.942629,181.666596103,66.2991221201,0.0263284921889,6900,0,1,0,0,0
True,random_seeded,realizable_policy,macro_run,5,5,0.554099520314,0.00171798978338,0.755061468659,0.00194874023792,0.367928011259,0.00750398206002,0.125913114309,0.00684801695791,0.328941942063,0.00134170567895,457463.942629,181.666596103,66.2991221201,0.0263284921889,6900,0,1,0,0,0
True,random_seeded,realizable_policy,micro,5,5,0.501402948326,0.00452549889151,0.732338111757,0.00230610353083,0.380403944498,0.00455086480621,0.0247682923508,0.00646584594331,0.330782608696,0.00206916733885,457463.942629,181.666596103,66.2991221201,0.0263284921889,6900,0,1,0,0,0
True,run_level_oracle,evaluator_only_reference,macro_category,5,5,0.621464981185,0.00500911841949,0.81713729572,0.00418576887485,0.202154680633,0.0227062966264,0,0,1,0,447665.411721,1499.22000503,64.8790451769,0.217278261598,6900,0,1,0,0,0
True,run_level_oracle,evaluator_only_reference,macro_run,5,5,0.680012634623,0.00691501644629,0.852689859532,0.00350118464929,0.131778395342,0.0148992878528,0,0,1,0,447665.411721,1499.22000503,64.8790451769,0.217278261598,6900,0,1,0,0,0
True,run_level_oracle,evaluator_only_reference,micro,5,5,0.526171240676,0.00727241912812,0.75919913823,0.0020157606891,0.244962326765,0.0276210249943,0,0,1,0,447665.411721,1499.22000503,64.8790451769,0.217278261598,6900,0,1,0,0,0
